,,,,,10,,,,,,,,,,,,,,,9,,,,,,,,,,,,8,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,4,,,,,,,,,3,,,,,2,,,,,1,RIQUEZA ABSOLUTA,Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),Producción de cada producto (Pi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col
RIO,COORD- X,COORD- Y,PUNTO,FECHA,Anomalopsychidae,Atriplectididae,Blepharoceridae,Calamoceratidae,Ptilodactylidae,Chordodidae,Gomphidae,Hydridae,Lampyridae,Lymnessiidae,Odontoceridae,Oligoneuriidae,Perlidae,Polythoridae,Psephenidae,Ampullariidae,Dytiscidae,Ephemeridae,Euthyplociidae,Gyrinidae,Hydraenidae,Hydrobiosidae,Leptophlebiidae,Philopotamidae,Polycentropodidae,Polymitarcydae,Xiphocentronidae,Gerridae,Hebridae,Helicopsychidae,Hydrobiidae,Leptoceridae,Lestidae,Palaemonidae,Pleidae,Pseudothelpusidae,Saldidae,Simuliidae,Veliidae,Baetidae,Caenidae,Calopterygidae,Coenagrionidae,Corixidae,Dixidae,Dryopidae,Glossossomatidae,Hyalellidae,Hydroptilidae,Hydropsychidae,Leptohyphidae,Naucoridae,Notonectidae,Planariidae,Psychodidae,Scirtidae,Aeshnidae,Ancylidae,Corydalidae,Elmidae,Libellulidae,Limnichidae,Lutrochidae,Megapodagrionidae,Sialidae,Staphylinidae,Belostomatidae,Gelastocoridae,Mesoveliidae,Nepidae,Planorbiidae,Pyralidae,Tabanidae,Thiaridae,Chrysomelidae,Stratiomyidae,Haliplidae,Empididae,Dolichopodidae,Sphaeridae,Lymnaeidae,Hydrometridae,Noteridae,Ceratopogonidae,Glossiphoniidae,Cyclobdellidae,Hydrophilidae,Physidae,Culicidae,Chironomidae,Muscidae,Sciomyzidae,Syrphidae,Tubificidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUASAGA,275317.5,9699416.5,P1,"08/01/2018  07:25:43 a, m,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,,0.193548387,,,,,,,,,,,,0.096774194,,,,,,,,,0.290322581,,,,,,,,,,,,,,,,0.258064516,,,,,,,,,,,,,,,,0.064516129,,,,0.096774194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.317850529,,,,,,,,,,,,-0.226004024,,,,,,,,,-0.359060118,,,,,,,,,,,,,,,,-0.349560171,,,,,,,,,,,,,,,,-0.176828389,,,,-0.226004024,,,,,,,,,,,,,,,,,1.66,Contaminación moderada,#¡REF!,#¡REF!
HUASAGA,267687.4,9704496.8,P2,"08/01/2018  09:25:43 a, m,",0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,,,,0.1,,,,,,,0.2,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.033333333,,,,,,,,,,,,,,,0.1,,,,,,-0.230258509,,,,,,,-0.321887582,,,,,,,-0.361191841,,,,,,,,,,,,,,,,,,,,,,-0.298626578,,,,,,,,,,,,,,,,,,,,-0.230258509,,,,,,,,,,,,,,,,,-0.113373246,,,,,,,,,,,,,,,-0.230258509,,,1.79,Contaminación moderada,#¡REF!,#¡REF!
HUASAGA,260536.9,9708079.8,P3,"08/01/2018  11:25:43 a, m,",0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,,0.069767442,,,,,,,,,,,,0.209302326,,,,,,,,,,,0.162790698,,,,,,,,,,,0.279069767,,,,,,,,,,0.162790698,,,,0.11627907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.185761941,,,,,,,,,,,,-0.327343717,,,,,,,,,,,-0.29551232,,,,,,,,,,,-0.356174921,,,,,,,,,,-0.29551232,,,,-0.250204907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,Contaminación moderada,#¡REF!,#¡REF!
HUASAGA,258714.1,9715164.6,P4,"08/01/2018  14:25:43 p, m,",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,0.029411765,,,,,,,,,,,,0.088235294,,,,,,,,,,0.264705882,,,,0.147058824,,,,,,,,,,,,,,,,,,,0.117647059,,,,,,,,,,,,,,0.264705882,,,,,,,,,,,,,,,,0.029411765,,,,,,,,,,,,,0.058823529,,,,,,-0.103716486,,,,,,,,,,,,-0.21421308,,,,,,,,,,-0.351830104,,,,-0.281900384,,,,,,,,,,,,,,,,,,,-0.25177249,,,,,,,,,,,,,,-0.351830104,,,,,,,,,,,,,,,,-0.103716486,,,,,,,,,,,,,-0.166659608,,,,,,1.83,Contaminación moderada,#¡REF!,#¡REF!
HUASAGA,257269.2,9720800.8,P5,"08/01/2018  16:25:43 p, m,",0,0,0,6,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,,,,0.113207547,,,0.113207547,,,,0.075471698,,,,,,,,,,,,,,0.150943396,,,,0.037735849,,,,,0.132075472,,,,,,0.169811321,,,,,,0.056603774,,,,,,0.075471698,,,,,,,,,,,,,,,,,,,0.018867925,,,,,,0.056603774,,,,,,,,,,,,,,,,,,,,,-0.246626314,,,-0.246626314,,,,-0.195018683,,,,,,,,,,,,,,-0.285411377,,,,-0.123665839,,,,,-0.267371176,,,,,,-0.301086906,,,,,,-0.162547903,,,,,,-0.195018683,,,,,,,,,,,,,,,,,,,-0.074911168,,,,,,-0.162547903,,,,,,,,,,,,,,,,,,2.26,Contaminación moderada,#¡REF!,#¡REF!
CHAPIZA,177784.8,9681258.3,P1,"10/01/2018  07:25:43 a, m,",0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,,0.090909091,,,,,0.181818182,,,,,,,,,,,,,,,,,,0.272727273,,,,,,0.090909091,,,,,0.151515152,,,,,,,,0.121212121,,,,,,,,,,,,,0.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.217990479,,,,,-0.309954199,,,,,,,,,,,,,,,,,,-0.354349905,,,,,,-0.217990479,,,,,-0.285919644,,,,,,,,-0.255783418,,,,,,,,,,,,,-0.217990479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,Contaminación moderada,#¡REF!,#¡REF!
CHAPIZA,178221.8,9689341.6,P2,"10/01/2018  09:25:43 a, m,",0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,,,,,,,,,,0.135135135,,,,0.081081081,,,,,,0.243243243,,,,,0.108108108,,,,,,0.135135135,,,,0.081081081,,,,0.216216216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27047027,,,,-0.203700456,,,,,,-0.343871352,,,,,-0.240499843,,,,,,-0.27047027,,,,-0.203700456,,,,-0.331130026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,Contaminación moderada,#¡REF!,#¡REF!
CHAPIZA,178170,9693894,P3,"10/01/2018  11:25:43 a, m,",0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,0.032258065,,,,,,0.193548387,,,,,,,,,,,,,,,,,,0.290322581,,,,,,,0.096774194,,,0.387096774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.110773781,,,,,,-0.317850529,,,,,,,,,,,,,,,,,,-0.359060118,,,,,,,-0.226004024,,,-0.367386021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,Contaminación moderada,#¡REF!,#¡REF!
CHAPIZA,176461.8,9699526.9,P4,"10/01/2018  13:25:43 p, m,",0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,,,0.083333333,,,,0.25,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,0.111111111,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,0.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.207075554,,,,-0.34657359,,,,,,,,,,,,,,-0.298626578,,,,,,,,,,,,,,,,-0.244136064,,,,,,,,,,,,,,,,,,-0.298626578,,,,,,,,,,,,,,,-0.334239422,,,,,,,,,,,,,,,,,,,,,,,,1.73,Contaminación moderada,#¡REF!,#¡REF!
