ID,RIO,COORD- X,COORD- Y,PUNTO,FECHA,FECHA,Temperatura,Ph,Oxigeno disuelto,Solidos_Totales,Nitratos,Fosfatos,Turbiedad,DBO5,Coliformes fecales,CALIDAD AGUA NSF,Clasificacion ,Clasificar
1,RIO HUASAGA,-2.717752305,-77.0210032,P1,2018//08/01,2018//08/01,19.6,7.3,9.38,46.02,2.9,0.17,0.86,12.5,2500,58.03,Regular,2
2,RIO HUASAGA,-2.671703638,-77.08952686,P2,2018//08/01,2018//08/01,19.7,7.16,9.56,49.6,6.5,0.89,0.75,13.5,1300,50.27,Regular,2
3,RIO HUASAGA,-2.63919923,-77.15375553,P3,2018//08/01,2018//08/01,20.5,7.56,8.97,45.2,4.3,0.25,0.96,12.6,1000,56.97,Regular,2
4,RIO HUASAGA,-2.575119785,-77.17003232,P4,2018//08/02,2018//08/02,21.3,7.4,8.88,59.6,5.25,0.96,0.82,11.4,800,52.22,Regular,2
5,RIO HUASAGA,-2.524143278,-77.18293496,P5,2018//08/03,2018//08/03,22.1,6.63,6.09,52.63,2.5,0.56,0.89,11.2,600,52.85,Regular,2
6,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2018//10/01,2018//10/01,19.9,6.5,7.3,68.95,6.8,0.36,0.79,15.8,700,50.79,Regular,2
7,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2018//10/01,2018//10/01,19.9,6.6,8.45,95.23,6.2,0.45,0.76,14.6,600,53.08,Regular,2
8,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2018//10/01,2018//10/01,20.1,6.7,6.08,94.7,2.1,1.01,0.81,13.7,2500,46.5,Mala,3
9,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2018//10/02,2018//10/02,21.2,7.15,7.2,164.23,2.5,0.56,0.91,12.7,700,54.04,Regular,2
10,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2018//10/03,2018//10/03,21.8,7.2,6.56,49.63,6.2,0.36,0.79,15.8,1500,48.61,Mala,3
11,RIO HUASAGA,-2.717752305,-77.0210032,P1,2018//09/05,2018//09/05,19.1,6.8,6.05,100.56,4.9,0.86,2.6,12.1,700,49.66,Mala,3
12,RIO HUASAGA,-2.671703638,-77.08952686,P2,2018//09/05,2018//09/05,19.5,6.5,6.08,124.9,3.9,0.56,1.05,13.5,900,50.09,Regular,2
13,RIO HUASAGA,-2.63919923,-77.15375553,P3,2018//09/05,2018//09/05,20.4,6.63,6.9,57.6,3.4,0.25,1.85,16.3,600,53.71,Regular,2
14,RIO HUASAGA,-2.575119785,-77.17003232,P4,2018//09/05,2018//09/05,20.3,7.2,7.1,73.9,5.8,0.19,0.36,16.2,600,54.49,Regular,2
15,RIO HUASAGA,-2.524143278,-77.18293496,P5,2018//09/05,2018//09/05,20.5,6.5,8.5,86.3,6.5,0.63,2.65,15.9,800,48.52,Mala,3
16,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2018//11/05,2018//11/05,19.7,6.5,9.26,90.02,5.8,0.96,16.7,14.7,1000,47.98,Mala,3
17,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2018//11/05,2018//11/05,19.9,6.2,6.01,48.26,6.4,0.28,3.59,12.9,1300,49.25,Mala,3
18,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2018//11/05,2018//11/05,21.6,6.3,7.5,52.1,5.2,0.26,2.86,15.2,600,52.52,Regular,2
19,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2018//11/05,2018//11/05,20.6,6.2,9.36,54.6,2.9,0.59,1.69,11.6,600,53.65,Regular,2
20,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2018//11/05,2018//11/05,20.2,6.8,8.6,63.2,6.6,0.18,1.63,12.4,600,56.75,Regular,2
21,RIO HUASAGA,-2.717752305,-77.0210032,P1,2018//04/09,2018//04/09,19.6,7.1,8.87,61.23,4.9,1.01,1.56,15.8,700,51.39,Regular,2
22,RIO HUASAGA,-2.671703638,-77.08952686,P2,2018//04/09,2018//04/09,19.7,7.3,8.69,97.9,2.3,1.02,1.63,16.1,800,52.51,Regular,2
23,RIO HUASAGA,-2.63919923,-77.15375553,P3,2018//04/09,2018//04/09,20.1,6.5,8.78,98.2,3.6,1.01,1.03,14.5,600,50.75,Regular,2
24,RIO HUASAGA,-2.575119785,-77.17003232,P4,2018//04/09,2018//04/09,20.3,6.38,6.23,52.3,4.8,0.99,0.59,11.3,600,48.93,Mala,3
25,RIO HUASAGA,-2.524143278,-77.18293496,P5,2018//04/09,2018//04/09,20.5,6.98,7.63,83.9,4.5,0.63,0.85,11.9,600,53.86,Regular,2
