ID,RIO,COORD- X,COORD- Y,PUNTO,AÑOS,Nivel 10,Nivel 9,Nivel 8,Nivel 7,Nivel 6,Nivel 5,Nivel 4,Nivel 3,Nivel 2,Nivel 1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col.1,Clasificar
1,RIO HUASAGA,-2.717752305,-77.0210032,P1,01/08/2018,0,6,3,9,8,2,3,0,0,0,31,1.66,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
2,RIO HUASAGA,-2.671703638,-77.08952686,P2,01/08/2018,9,9,0,5,3,0,1,0,3,0,30,1.79,Contaminación moderada,,48,Aguas moderadamente contaminadas,3
3,RIO HUASAGA,-2.63919923,-77.15375553,P3,01/08/2018,12,7,12,12,0,0,0,0,0,0,43,1.71,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
4,RIO HUASAGA,-2.575119785,-77.17003232,P4,02/08/2018,4,14,0,4,9,0,1,0,2,0,34,1.83,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
5,RIO HUASAGA,-2.524143278,-77.18293496,P5,03/08/2018,16,8,9,16,0,1,3,0,0,0,53,2.26,Contaminación moderada,,85,Aguas ligeramente contaminadas,2
6,RIO CHAPIZA,-2.880025048,-77.89806561,P1,01/10/2018,9,9,8,4,3,0,0,0,0,0,33,1.86,Contaminación moderada,,58,Aguas moderadamente contaminadas,3
7,RIO CHAPIZA,-2.806998637,-77.89395636,P2,01/10/2018,8,13,8,8,0,0,0,0,0,0,37,1.86,Contaminación moderada,,70,Aguas ligeramente contaminadas,2
8,RIO CHAPIZA,-2.765864358,-77.89432128,P3,01/10/2018,7,9,15,0,0,0,0,0,0,0,31,1.38,Contaminación moderada,,45,Aguas moderadamente contaminadas,3
9,RIO CHAPIZA,-2.714931297,-77.90954739,P4,02/10/2018,12,6,4,6,0,8,0,0,0,0,36,1.73,Contaminación moderada,,49,Aguas moderadamente contaminadas,3
10,RIO CHAPIZA,-2.693626541,-77.96585626,P5,03/10/2018,11,9,0,11,0,0,1,0,0,0,32,1.77,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
11,RIO HUASAGA,-2.717752305,-77.0210032,P1,05/09/2018,10,6,4,3,8,0,0,0,0,0,31,1.63,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
